Nivel de educación;Sexo;periodo;Total
Nivel 0-2;Total;2023;25,8
Nivel 0-2;Total;2022;26,1
Nivel 0-2;Total;2021;26,0
Nivel 0-2;Total;2020;29,5
Nivel 0-2;Total;2019;30,9
Nivel 0-2;Total;2018;32,6
Nivel 0-2;Total;2017;33,8
Nivel 0-2;Total;2016;34,6
Nivel 0-2;Total;2015;36,7
Nivel 0-2;Total;2014;39,3
Nivel 0-2;Total;2013;41,0
Nivel 0-2;Total;2012;41,9
Nivel 0-2;Total;2011;42,4
Nivel 0-2;Total;2010;43,7
Nivel 0-2;Total;2009;45,2
Nivel 0-2;Total;2008;45,0
Nivel 0-2;Total;2007;44,0
Nivel 0-2;Total;2006;43,4
Nivel 0-2;Total;2005;43,8
Nivel 0-2;Total;2004;44,7
Nivel 0-2;Hombres;2023;29,6
Nivel 0-2;Hombres;2022;30,0
Nivel 0-2;Hombres;2021;30,9
Nivel 0-2;Hombres;2020;35,5
Nivel 0-2;Hombres;2019;37,1
Nivel 0-2;Hombres;2018;38,1
Nivel 0-2;Hombres;2017;39,1
Nivel 0-2;Hombres;2016;40,6
Nivel 0-2;Hombres;2015;43,1
Nivel 0-2;Hombres;2014;44,7
Nivel 0-2;Hombres;2013;46,6
Nivel 0-2;Hombres;2012;48,1
Nivel 0-2;Hombres;2011;49,2
Nivel 0-2;Hombres;2010;50,6
Nivel 0-2;Hombres;2009;52,6
Nivel 0-2;Hombres;2008;52,1
Nivel 0-2;Hombres;2007;50,0
Nivel 0-2;Hombres;2006;50,7
Nivel 0-2;Hombres;2005;50,6
Nivel 0-2;Hombres;2004;51,5
Nivel 0-2;Mujeres;2023;21,7
Nivel 0-2;Mujeres;2022;22,0
Nivel 0-2;Mujeres;2021;20,8
Nivel 0-2;Mujeres;2020;23,1
Nivel 0-2;Mujeres;2019;24,4
Nivel 0-2;Mujeres;2018;26,9
Nivel 0-2;Mujeres;2017;28,3
Nivel 0-2;Mujeres;2016;28,4
Nivel 0-2;Mujeres;2015;30,1
Nivel 0-2;Mujeres;2014;33,7
Nivel 0-2;Mujeres;2013;35,1
Nivel 0-2;Mujeres;2012;35,5
Nivel 0-2;Mujeres;2011;35,3
Nivel 0-2;Mujeres;2010;36,6
Nivel 0-2;Mujeres;2009;37,5
Nivel 0-2;Mujeres;2008;37,8
Nivel 0-2;Mujeres;2007;37,8
Nivel 0-2;Mujeres;2006;35,9
Nivel 0-2;Mujeres;2005;36,8
Nivel 0-2;Mujeres;2004;37,5
Nivel 3-8;Total;2023;74,2
Nivel 3-8;Total;2022;73,9
Nivel 3-8;Total;2021;74,0
Nivel 3-8;Total;2020;70,5
Nivel 3-8;Total;2019;69,1
Nivel 3-8;Total;2018;67,4
Nivel 3-8;Total;2017;66,2
Nivel 3-8;Total;2016;65,3
Nivel 3-8;Total;2015;63,4
Nivel 3-8;Total;2014;60,6
Nivel 3-8;Total;2013;59,0
Nivel 3-8;Total;2012;58,1
Nivel 3-8;Total;2011;57,6
Nivel 3-8;Total;2010;56,3
Nivel 3-8;Total;2009;54,7
Nivel 3-8;Total;2008;55,0
Nivel 3-8;Total;2007;56,0
Nivel 3-8;Total;2006;56,5
Nivel 3-8;Total;2005;56,1
Nivel 3-8;Total;2004;55,3
Nivel 3-8;Hombres;2023;70,4
Nivel 3-8;Hombres;2022;70,0
Nivel 3-8;Hombres;2021;69,1
Nivel 3-8;Hombres;2020;64,5
Nivel 3-8;Hombres;2019;62,9
Nivel 3-8;Hombres;2018;61,9
Nivel 3-8;Hombres;2017;60,9
Nivel 3-8;Hombres;2016;59,4
Nivel 3-8;Hombres;2015;56,8
Nivel 3-8;Hombres;2014;55,3
Nivel 3-8;Hombres;2013;53,5
Nivel 3-8;Hombres;2012;51,9
Nivel 3-8;Hombres;2011;50,8
Nivel 3-8;Hombres;2010;49,4
Nivel 3-8;Hombres;2009;47,4
Nivel 3-8;Hombres;2008;47,9
Nivel 3-8;Hombres;2007;50,0
Nivel 3-8;Hombres;2006;49,4
Nivel 3-8;Hombres;2005;49,4
Nivel 3-8;Hombres;2004;48,5
Nivel 3-8;Mujeres;2023;78,3
Nivel 3-8;Mujeres;2022;78,0
Nivel 3-8;Mujeres;2021;79,2
Nivel 3-8;Mujeres;2020;76,9
Nivel 3-8;Mujeres;2019;75,6
Nivel 3-8;Mujeres;2018;73,1
Nivel 3-8;Mujeres;2017;71,7
Nivel 3-8;Mujeres;2016;71,6
Nivel 3-8;Mujeres;2015;70,0
Nivel 3-8;Mujeres;2014;66,3
Nivel 3-8;Mujeres;2013;64,9
Nivel 3-8;Mujeres;2012;64,5
Nivel 3-8;Mujeres;2011;64,7
Nivel 3-8;Mujeres;2010;63,4
Nivel 3-8;Mujeres;2009;62,4
Nivel 3-8;Mujeres;2008;62,2
Nivel 3-8;Mujeres;2007;62,2
Nivel 3-8;Mujeres;2006;64,1
Nivel 3-8;Mujeres;2005;63,2
Nivel 3-8;Mujeres;2004;62,5
Nivel 3-4;Total;2023;53,8
Nivel 3-4;Total;2022;53,7
Nivel 3-4;Total;2021;54,5
Nivel 3-4;Total;2020;52,9
Nivel 3-4;Total;2019;52,0
Nivel 3-4;Total;2018;50,4
Nivel 3-4;Total;2017;49,5
Nivel 3-4;Total;2016;48,5
Nivel 3-4;Total;2015;47,5
Nivel 3-4;Total;2014;45,2
Nivel 3-4;Total;2013;42,8
Nivel 3-4;Total;2012;41,9
Nivel 3-4;Total;2011;41,3
Nivel 3-4;Total;2010;40,4
Nivel 3-4;Total;2009;39,5
Nivel 3-4;Total;2008;39,0
Nivel 3-4;Total;2007;39,8
Nivel 3-4;Total;2006;39,9
Nivel 3-4;Total;2005;39,5
Nivel 3-4;Total;2004;39,7
Nivel 3-4;Hombres;2023;51,9
Nivel 3-4;Hombres;2022;51,8
Nivel 3-4;Hombres;2021;51,9
Nivel 3-4;Hombres;2020;49,7
Nivel 3-4;Hombres;2019;48,6
Nivel 3-4;Hombres;2018;47,5
Nivel 3-4;Hombres;2017;46,9
Nivel 3-4;Hombres;2016;45,5
Nivel 3-4;Hombres;2015;44,0
Nivel 3-4;Hombres;2014;42,6
Nivel 3-4;Hombres;2013;40,5
Nivel 3-4;Hombres;2012;39,4
Nivel 3-4;Hombres;2011;39,1
Nivel 3-4;Hombres;2010;37,3
Nivel 3-4;Hombres;2009;35,7
Nivel 3-4;Hombres;2008;35,4
Nivel 3-4;Hombres;2007;36,9
Nivel 3-4;Hombres;2006;36,2
Nivel 3-4;Hombres;2005;36,4
Nivel 3-4;Hombres;2004;36,3
Nivel 3-4;Mujeres;2023;55,7
Nivel 3-4;Mujeres;2022;55,6
Nivel 3-4;Mujeres;2021;57,3
Nivel 3-4;Mujeres;2020;56,4
Nivel 3-4;Mujeres;2019;55,6
Nivel 3-4;Mujeres;2018;53,4
Nivel 3-4;Mujeres;2017;52,2
Nivel 3-4;Mujeres;2016;51,7
Nivel 3-4;Mujeres;2015;51,0
Nivel 3-4;Mujeres;2014;48,0
Nivel 3-4;Mujeres;2013;45,3
Nivel 3-4;Mujeres;2012;44,4
Nivel 3-4;Mujeres;2011;43,5
Nivel 3-4;Mujeres;2010;43,6
Nivel 3-4;Mujeres;2009;43,5
Nivel 3-4;Mujeres;2008;42,6
Nivel 3-4;Mujeres;2007;42,7
Nivel 3-4;Mujeres;2006;43,9
Nivel 3-4;Mujeres;2005;42,8
Nivel 3-4;Mujeres;2004;43,2
